question,answer
What do we call the thing that helps us erase mistakes?,An eraser — the fix-it friend.
What do we call the thing that helps us stay hydrated?,Water — the body’s favorite drink.
What do we call the thing that helps us hear music?,Our ears — the sound catchers.
What number is one less than 20?,Nineteen — just one step down.
What do we call the person who helps us learn new songs?,The music teacher — our melody guide.
What do we call the thing that helps us see tiny bugs?,A magnifying glass — the zoom helper.
What letter does 'hat' start with?,H — the breathy /h/ sound.
What do we call the big ball of fire in space?,The Sun — our giant heater.
What do we call the feeling when we’re nervous?,Nervousness — the fluttery feeling.
What do we call the shape with four sides but not all equal?,"A rectangle — two long, two short."
What do we call the thing that helps us stay safe on a bike?,A helmet — the head protector.
What do we call the person who grows our food?,A farmer — the plant and animal helper.
What do we call the thing that helps us know the day of the week?,A calendar — the date keeper.
What do we call the sound at the start of 'goat'?,The /g/ sound — a strong start.
What do we call the thing that helps us mix paint?,A brush — the color mover.
What do we call the big group of water that flows?,A river — moving water.
What do we call the thing that helps us stay dry in the rain?,An umbrella — the rain blocker.
What do we call the feeling when we’re confused?,Confusion — the 'hmm?' feeling.
What do we call the person who helps us buy things at a store?,A cashier — the checkout helper.
What do we call the thing that helps us see our reflection?,A mirror — the look-back tool.
What do we call the sound at the end of 'frog'?,The /g/ sound — the last bump.
What do we call the big group of people who make laws?,The government — the rule makers.
What do we call the thing that helps us cool food?,A refrigerator — the food chiller.
What do we call the thing that helps us heat food?,A microwave — the quick cooker.
What do we call the thing that helps us wash clothes?,A washing machine — the clothes cleaner.
What do we call the thing that helps us dry clothes?,A dryer — the warm spinner.
What do we call the shape that looks like a mountain?,A triangle — pointy on top.
What do we call the thing that helps us stay safe in the pool?,A lifeguard — the water watcher.
What do we call the person who helps us learn new words?,A teacher — the word helper.
What do we call the thing that helps us know how fast we’re going?,A speedometer — the speed reader.
What do we call the thing that helps us see in the dark?,A flashlight — the night helper.
What do we call the feeling when we’re proud of a friend?,That’s being supportive — cheering them on.
What do we call the thing that helps us measure weight?,A scale — the weight checker.
What do we call the person who helps us learn about art?,The art teacher — the creativity guide.
What do we call the thing that helps us stay safe in the sun?,Sunscreen — the skin protector.
What do we call the sound in the middle of 'dog'?,The /o/ sound — the open vowel.
What do we call the thing that helps us know which way the wind blows?,A weather vane — the wind pointer.
What do we call the person who helps us learn to read?,A reading teacher — the book buddy.
What do we call the thing that helps us clean the floor?,A broom — the sweeping stick.
What do we call the thing that helps us draw straight lines?,A ruler — the line maker.
What do we call the big group of stars that form a picture?,A constellation — a sky drawing.
What do we call the thing that helps us stay safe at night?,A night-light — the gentle glow.
What do we call the person who helps us learn about numbers?,A math teacher — the number guide.
What do we call the thing that helps us cook food on the stove?,A pot — the cooking container.
What do we call the thing that helps us stir soup?,A spoon — the mixing helper.
What do we call the thing that helps us open jars?,Our hands — the twist tools.
What do we call the thing that helps us climb safely?,A ladder — the step helper.
What do we call the feeling when we’re excited to try something new?,Curiosity — the 'let’s see' feeling.
What do we call the thing that helps us zip our coat?,A zipper — the up-and-down helper.
What do we call the thing that helps us tie our shoes?,Shoelaces — the loop makers.
What do we call the thing that helps us stay warm in winter?,A coat — the cozy cover.
What do we call the thing that helps us carry our school supplies?,A backpack — the school carrier.
What do we call the thing that helps us breathe out air?,Our lungs — the air movers.
What number comes after 25?,Twenty-six — the next stop on the number train.
What do we call the person who helps us learn to draw?,The art teacher — the creativity coach.
What do we call the thing that helps us stay dry after a bath?,A towel — the soft dryer.
What do we call the sound at the start of 'sun'?,The /s/ sound — a gentle hiss.
What do we call the big group of people who live in a city?,A population — all the people together.
What do we call the thing that helps us stay safe in the hallway?,Walking feet — slow and steady.
What do we call the shape that looks like a box?,A cube — a 3D square.
What do we call the thing that helps us know when to stop at a light?,A red light — the stop signal.
What do we call the feeling when we’re worried?,Worry — the tight tummy feeling.
What do we call the thing that helps us clean our teeth?,A toothbrush — the scrubber.
What do we call the thing that helps us keep papers together?,A stapler — the click-clamp tool.
What do we call the person who helps us learn to move our bodies?,The PE teacher — the movement guide.
What do we call the thing that helps us hear better in a big room?,A microphone — the voice booster.
What do we call the sound at the end of 'cat'?,The /t/ sound — a tiny tap.
What do we call the thing that helps us stay safe on the playground?,Rules — they keep everyone safe.
What do we call the person who helps us learn about science?,A science teacher — the experiment guide.
What do we call the thing that helps us cool down on a hot day?,Cold water — the best refresher.
What do we call the shape that looks like a donut?,A torus — a circle with a hole.
What do we call the thing that helps us stay safe in the kitchen?,Oven mitts — the heat blockers.
What do we call the feeling when we’re happy for someone else?,Being supportive — cheering them on.
What do we call the thing that helps us find books in the library?,Book labels — the shelf helpers.
What do we call the person who helps us learn new dances?,A dance teacher — the rhythm coach.
What do we call the thing that helps us stay safe in the car?,A car seat — the kid protector.
What do we call the sound in the middle of 'sun'?,The /u/ sound — short and quick.
What do we call the thing that helps us see colors?,Our eyes — the color catchers.
What do we call the person who helps us learn about history?,A social studies teacher — the past guide.
What do we call the thing that helps us stay safe in the dark?,A flashlight — the bright helper.
What do we call the shape that looks like a heart?,A heart shape — curvy and sweet.
What do we call the thing that helps us stay safe near water?,A lifeguard — the water watcher.
What do we call the feeling when we’re excited?,Excitement — the jumpy feeling.
What do we call the thing that helps us cut food?,A knife — the slicing tool.
What do we call the person who helps us learn to sing?,A music teacher — the voice coach.
What do we call the thing that helps us stay safe in the sun?,A hat — shade for your face.
What do we call the sound at the start of 'pig'?,The /p/ sound — a little pop.
What do we call the thing that helps us stay warm at night?,A blanket — the cozy cover.
What do we call the person who helps us learn to write?,A writing teacher — the pencil guide.
What do we call the thing that helps us clean up spills?,A paper towel — the quick helper.
What do we call the shape with three points?,A triangle — pointy and proud.
What do we call the thing that helps us stay safe on the bus?,Sitting still — the safety rule.
What do we call the person who helps us learn about animals?,A science teacher — the animal helper.
What do we call the thing that helps us stay safe crossing the street?,Looking both ways — left and right.
What do we call the sound at the end of 'bed'?,The /d/ sound — a soft stop.
What do we call the thing that helps us stay organized at home?,A basket — the tidy helper.
What do we call the person who helps us learn to count?,A math teacher — the number coach.
What do we call the thing that helps us stay safe in storms?,Shelter — a safe place inside.
What do we call the shape that looks like a star?,A star shape — pointy and bright.
What do we call the thing that helps us stay safe in crowds?,Holding hands — the stay-close rule.
What do we call the person who helps us learn new games?,A PE teacher — the game guide.
What do we call the thing that helps us stay safe around strangers?,Staying with a trusted adult — the safety rule.
What do we call the thing that helps us stay safe when cooking?,A grown-up helper — the kitchen safety buddy.
What do we call the sound at the start of 'kite'?,The /k/ sound — sharp and quick.
What do we call the thing that helps us stay warm outside?,A jacket — the outdoor cozy layer.
What do we call the person who helps us learn about music?,A music teacher — the tune guide.
What do we call the thing that helps us stay safe in the bathtub?,A non-slip mat — the no-fall helper.
What do we call the feeling when we’re embarrassed?,Embarrassment — the warm-cheeks feeling.
What do we call the thing that helps us know how tall we are?,A measuring chart — the height tracker.
What do we call the shape that looks like a long skinny rectangle?,A rectangle — stretched out and straight.
What do we call the thing that helps us stay safe on stairs?,A handrail — the hold-on helper.
What do we call the person who helps us learn to read stories?,A reading teacher — the story guide.
What do we call the thing that helps us stay cool in summer?,Shade — nature’s umbrella.
What do we call the sound at the end of 'map'?,The /p/ sound — a tiny pop.
What do we call the thing that helps us stay safe in the hallway?,Walking feet — slow and steady.
What do we call the person who helps us learn about shapes?,A math teacher — the shape helper.
What do we call the thing that helps us stay safe in the kitchen?,A timer — the don’t-burn-it helper.
What do we call the shape that looks like a triangle but 3D?,A pyramid — pointy on top.
What do we call the thing that helps us stay safe at recess?,Listening to the teacher — the safety rule.
What do we call the person who helps us learn about weather?,A science teacher — the sky helper.
What do we call the thing that helps us stay safe in the car?,A seatbelt — the buckle-up buddy.
What do we call the sound in the middle of 'bed'?,The /e/ sound — short and quick.
What do we call the thing that helps us stay safe when crossing the street?,A crosswalk — the safe walking zone.
What do we call the person who helps us learn to count money?,A math teacher — the coin coach.
What do we call the thing that helps us stay safe in the pool?,A pool noodle — the floaty friend.
What do we call the shape that looks like a square but 3D?,A cube — box-shaped and solid.
What do we call the thing that helps us stay safe in storms?,A safe room — the stay-inside spot.
What do we call the person who helps us learn about our feelings?,A counselor — the feelings helper.
What do we call the thing that helps us stay safe on the playground slide?,Sitting down — the safe sliding rule.
What do we call the sound at the start of 'zoo'?,The /z/ sound — a buzzing start.
What do we call the thing that helps us stay safe when painting?,A smock — the mess protector.
What do we call the person who helps us learn to build things?,A teacher — the building guide.
What do we call the thing that helps us stay safe in the dark?,A night-light — the gentle glow.
What do we call the shape that looks like a circle but 3D?,A sphere — round all over.
What do we call the thing that helps us stay safe when running?,Looking ahead — the don’t-trip rule.
What do we call the person who helps us learn to share?,A teacher — the sharing coach.
What do we call the thing that helps us stay safe in the kitchen?,A pot holder — the heat helper.
What do we call the sound at the end of 'log'?,The /g/ sound — the last bump.
What do we call the thing that helps us stay safe in the sun?,Sunglasses — the eye protectors.
What do we call the person who helps us learn about space?,A science teacher — the space guide.
What do we call the thing that helps us stay safe on a scooter?,A helmet — the head saver.
What do we call the shape that looks like a rectangle but 3D?,A rectangular prism — long and boxy.
What do we call the thing that helps us stay safe when using scissors?,Holding them by the handles — the safe carry rule.
What do we call the person who helps us learn to be kind?,A teacher — the kindness coach.
What do we call the thing that helps us stay safe in the rain?,Rain boots — splash protectors.
What do we call the sound in the middle of 'hop'?,The /o/ sound — short and round.
What do we call the thing that helps us stay safe when climbing?,Using both hands — the climbing rule.
What do we call the person who helps us learn about our community?,A social studies teacher — the community guide.
What do we call the thing that helps us stay safe when carrying things?,Two hands — the steady helpers.
What do we call the shape that looks like a circle cut in half?,A semicircle — half a circle.
What do we call the thing that helps us stay safe when eating?,Chewing slowly — the safe eating rule.
What do we call the person who helps us learn to listen?,A teacher — the listening guide.
What do we call the thing that helps us stay safe when playing tag?,Tagging gently — the soft-touch rule.
How do you get a value from a Map variable in Blueprint?,Use the Find node. Drag off your Map variable and search for Find. Plug the Key into the Key pin and it returns the Value.
How do you set a value in a Map variable in Blueprint?,Use the Add node on the Map. Plug in the Key and Value pins. If the key already exists it will overwrite the value.
How do you get a single row from a Data Table in Blueprint?,Use the Get Data Table Row node. Set the Data Table asset on the node and plug a Name into the Row Name pin. It returns the Out Row struct.
How do you read a field from a Data Table row?,After Get Data Table Row drag off the Out Row pin and search for Break followed by your struct name. This exposes all the fields.
How do you get all row names from a Data Table?,Use the Get Data Table Row Names node. Set the Table pin to your Data Table asset. It returns an array of Names.
How do you loop through all rows in a Data Table?,Use Get Data Table Row Names to get the array then feed it into a For Each Loop. Inside the loop use Get Data Table Row with the Array Element as the Row Name.
How do you get a value from a Struct variable?,Drag off the struct variable pin and search for Break followed by the struct name. This exposes all the individual fields.
How do you set a value inside a Struct variable?,Drag off the struct variable and search for Set members in followed by the struct name. You can then set individual fields.
How do you check if a key exists in a Map?,Use the Contains node on the Map. Plug the Key in and it returns a boolean true if the key exists.
How do you remove a key from a Map?,Use the Remove node on the Map. Plug the Key in and it will remove that entry from the Map.
How do you get the number of entries in a Map?,Use the Length node on the Map variable. It returns an integer count of all key value pairs.
How do you initialize a Map at game start?,Use Event Begin Play and loop through your data source adding each Key and Value using the Add node on the Map.
What is the difference between a pure function and a regular function in Blueprint?,A pure function has no execution pins and can be called anywhere without breaking the execution chain. A regular function has execution pins and must be wired into the execution flow.
How do you create a custom event dispatcher in Blueprint?,In the My Blueprint panel find Event Dispatchers and click the plus button. Name it and add input parameters in the details panel.
How do you call an event dispatcher in Blueprint?,Drag the dispatcher from the My Blueprint panel into the graph and select Call. Wire it into your execution chain and fill in the input pins.
How do you bind to an event dispatcher in Blueprint?,Drag the dispatcher into the graph and select Bind. Connect the Event pin to a custom event node that will run when the dispatcher fires.
How do you get a component from an actor in Blueprint?,Use the Get Component by Class node. Feed in the actor reference and select your component class from the dropdown.
How do you get the Player Controller in Blueprint?,Use the Get Player Controller node. Pass in 0 for Player Index to get the first player.
How do you get the Player Character in Blueprint?,Use the Get Player Character node. Pass in 0 for Player Index to get the first player character.
How do you increment an integer by 1 in Blueprint?,Use the Increment Int node. Drag off your integer variable and search for the double plus symbol or Increment.
How do you clamp a float value in Blueprint?,Use the Clamp Float node. Plug your value into Value and set the Min and Max pins.
How do you subtract two floats in Blueprint?,Use the Float minus Float node. Drag off any float pin and type the minus symbol or search subtract.
How do you check if one float is greater than or equal to another?,Use the Float >= Float node. Returns true if the first value is greater than or equal to the second.
How do you check if an integer is greater than or equal to another?,Use the Integer >= Integer node. Returns true if the first value is greater than or equal to the second.
How do you divide two floats to get a percentage in Blueprint?,Use the Float divided by Float node. For example CurrentXP divided by MaxXP gives a 0 to 1 value usable in a progress bar.
How do you play a sound in Blueprint without a location?,Use the Play Sound 2D node. Plug a Sound Cue or Sound Wave asset into the Sound pin.
How do you add a component to a Blueprint class?,Open the Blueprint and in the Components panel at the top left click Add and search for your component class.
How do you make a function pure in Blueprint?,Select the function in the My Blueprint panel. In the Details panel on the right check the Pure checkbox.
How do you add inputs to a function in Blueprint?,Click on the function entry node in the graph. In the Details panel click the plus button next to Inputs and set the name and type.
How do you add outputs to a function in Blueprint?,Click on the function entry node or return node. In the Details panel click the plus button next to Outputs and set the name and type.
How do you create a local variable inside a function in Blueprint?,Click on the function entry node. In the Details panel under Local Variables click the plus button and set the name and type.
How do you promote a value to a variable in Blueprint?,Right click on any output pin and select Promote to Variable. It creates a new variable and wires it automatically.
How do you print a value to the screen for debugging in Blueprint?,Use the Print String node. Convert your value to a string first using the To String conversion node then plug it into the In String pin.
How do you convert a float to a string in Blueprint?,Drag off any float pin and search for To String Float. It returns a string version of the value.
How do you convert an integer to a string in Blueprint?,Drag off any integer pin and search for To String Integer. It returns a string version of the value.
How do you use a Branch node in Blueprint?,The Branch node is like an if statement. Plug a boolean into the Condition pin. True and False are separate execution paths.
How do you get a boolean result from a comparison in Blueprint?,Use any comparison node like >= or == and wire the result boolean into a Branch node Condition pin.
How do you find the remainder after a subtraction in Blueprint?,Use Float minus Float. For example CurrentXP minus MaxXP gives you the leftover XP after a level up.
What node do you use to set a Map value back after modifying it?,Use the Add node on the Map with the same Key. If the key exists it overwrites the old value with the new one.
How do you access a Data Table asset reference in Blueprint?,Create a variable of type Data Table Object Reference. In the Details panel set the default value to your Data Table asset.
How do you loop through an array in Blueprint?,Feed the array into a For Each Loop node. The Array Element pin gives you each item and Array Index gives the position.
How do you get the length of an array in Blueprint?,Use the Length node on the array. It returns an integer of how many items are in the array.
How do you add an item to an array in Blueprint?,Use the Add node on the array variable. Plug the item into the New Item pin.
How do you clear all entries from a Map in Blueprint?,Use the Clear node on the Map variable. This removes all key value pairs from the Map.
How do you use Event Begin Play in a component Blueprint?,In the Event Graph right click and search Event Begin Play. This fires when the component initializes and is used to set up default values.
How do you duplicate a function in Blueprint?,Right click the function name in the My Blueprint panel and select Duplicate. Rename the copy in the Details panel.
How do you make a Map with a Name key and Float value in Blueprint?,Create a new variable. Set the type to Map. Set the Key type to Name and the Value type to Float.
How do you make a Map with a Name key and Integer value in Blueprint?,Create a new variable. Set the type to Map. Set the Key type to Name and the Value type to Integer.
How do you wire execution pins in Blueprint?,Drag from the white triangle output pin on one node to the white triangle input pin on the next node to create an execution connection.
How do you re-route a wire in Blueprint to keep it tidy?,Double click on any wire to add a reroute node. This lets you bend wires around other nodes to keep the graph readable.
How do you get a struct field without breaking the whole struct?,Drag off the struct pin and search for the field name directly. UE5 often lets you access individual members without a full Break node.
How do you check if a Data Table row was found successfully?,The Get Data Table Row node has a Row Found and Row Not Found execution pin. Wire your logic off Row Found to ensure the row exists before using it.
How do you set a default value for a variable in Blueprint?,Compile the Blueprint first. Then select the variable in the My Blueprint panel and in the Details panel set the Default Value field.
How do you call a function from another Blueprint in UE5?,Get a reference to the other Blueprint first using Get Component by Class or a cast. Then drag off the reference and search for the function name.
How do you use a Select node in Blueprint?,The Select node returns different values based on an index or boolean input. Wire a boolean into the Index pin and set the A and B pins for false and true outputs.
How do you convert a Name to a String in Blueprint?,Drag off any Name pin and search for Name To String. It returns a readable string version of the Name value.
How do you convert a String to a Name in Blueprint?,Drag off any String pin and search for String To Name. It returns a Name type usable as a Map key or row name.
How do you use a Format Text node in Blueprint?,Right click and search Format Text. In the Format field type your text with variables in curly braces like Level: {0}. Wire your values into the numbered pins.
How do you get a random integer between two values in Blueprint?,Use the Random Integer in Range node. Set the Min and Max pins to define the range.
How do you get a random float between two values in Blueprint?,Use the Random Float in Range node. Set the Min and Max pins to define the range.
